店名,店舗電話番号,住所,営業時間,定休日,アクセス,入口幅が80cm以上である,入口の移動経路は平坦または段差が2cm以下である,店舗内の椅子は移動可能である,店舗内は車椅子での移動が可能である,テーブル下にスペースがある（高さ65cm×幅70cm×奥行45cm程度）,店舗内または同じフロア内にトイレがある,車椅子使用者対応トイレがある（施設内の他フロアを含む）またはオストメイトがある,写真メニューがある,英語等外国語のメニューがある,点字表記のメニューがある,筆談によるコミュニケーションがある,手話のできるスタッフがいる,事前申請によるアレルギー対応が可能,事前申請によるベジタリアンまたはヴィーガン対応が可能,事前申請によるハラール対応が可能,店舗URL
TOKYO STATION BUFFET 馳走三昧 大丸東京店,03-6895-2858,東京都千代田区丸の内1-9-1 大丸東京店 12F,ランチ11:00~16:00(LO15:30)ディナー16:00~22:00(LO21:00),定休日無し,JR・地下鉄「東京」直結,〇,〇,〇,〇,〇,〇,〇,,,,,,〇,,,https://tabelog.com/tokyo/A1302/A130201/13146400/
チャイニーズ青菜 丸の内ブリックスクエア店,03-6269-9080,東京都千代田区丸の内2-6-1 丸の内ブリックスクエア2F,ランチ11:00~15:00(LO14:30)ディナー月～土17:00~23:00(LO22:00)日・祝17:00~22:00(LO21:30),施設に準ずる,JR・地下鉄「東京」徒歩5分、JR・地下鉄「有楽町」徒歩5分、地下鉄「二重橋前」徒歩2分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,,,https://kiwa-group.co.jp/chintsai_marunouchi/
人人人 東京ビルTOKIA店,03-5252-7361,東京都千代田区丸の内2-7-3,ランチ11:00~16:00(通し)ディナー~23:00(LO22:00)　※（金）のみ~4:00(LO3:00),定休日無し,JR・地下鉄「有楽町」徒歩7分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,,,https://kiwa-group.co.jp/renrenren_tokyo/
Morton’s The Steakhouse 丸の内,03-6270-3900,東京都千代田区丸の内3-2-3 丸の内二重橋ビル2F,ランチ11:00~15:30(LO14:00)ディナー17:00~23:30(LO22:00),施設に準ずる,JR・地下鉄「東京」地下直結,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,〇,http://mortons-jp.com/shop.html
梅梅 日比谷シャンテ店,03-6550-8734,東京都千代田区有楽町1-2 日比谷シャンテ B2F,11:00~22:00(LO21:00),施設に準ずる,JR「有楽町」徒歩8分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://kiwa-group.co.jp/meimei_hibiya/
Boulangerie JEAN FRANCOIS 東京ミッドタウン日比谷店,03-5157-0270,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷B1F,10:00~21:00,施設に準ずる,地下鉄「日比谷」直結、地下鉄「有楽町」徒歩4分、JR「有楽町」徒歩5分、地下鉄「銀座」徒歩5分 ,〇,〇,〇,,〇,〇,〇,,,,〇,,〇,,,https://bread-jeanfrancois.com/1308/
カフェ・トリオンプ,03-6380-9540,東京都千代田区外神田5-6-4 1F,11:30~21:00 (LO20:30)ランチ11:30~14:00(LO14:00) ,土・日・祝・臨時休業あり,地下鉄「末広町」徒歩2分、JR「御徒町駅」徒歩6分、JR「秋葉原」徒歩7分,〇,,〇,〇,〇,〇,,,,,〇,,,,,https://sweettrip.biz/
Book House Cafe,03-6910-0819,東京都千代田区神田神保町2-5 北沢ビル1F,11:00~18:00(LO17:00) ,定休日無し,地下鉄「神保町」徒歩1分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://bookhousecafe.jp/
アジアンビストロ Dai 東京ガーデンテラス店,03-6256-9975,東京都千代田区紀尾井町1-3 紀尾井テラス 2F,ランチ11:30~15:00(LO15:00)ディナー15:00~23:00(LO22:00),年末年始のみ,地下鉄「永田町」徒歩0分,〇,,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://www.pleasure-company.com/asian_bistro/
ベンジャミンステーキハウス 東京ガーデンテラス紀尾井町店,03-3263-5544,東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町4F,ランチ11:30~15:00(LO14:00)ディナー月~土17:00~22:30(LO21:30)日・祝・連休最終日17:00~22:00(LO21:00),定休日無し,地下鉄「永田町」直結、地下鉄「赤坂見附」徒歩9分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,,,https://www.benjaminsteakhouse.jp/kioi/
