"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_通称","名称_英語","文化財分類","種類","場所名称","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","員数（数）","員数（単位）","法人番号","所有者等","文化財指定日","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","画像","画像_ライセンス","概要","概要_英語","説明","説明_英語","URL","備考"
"132152","132152100001","国立市","木造獅子狛犬","モクゾウシシコマイヌ","","","重要文化財","彫刻","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679363","139.44395","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","1948-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551200939.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100002","国立市","木造扁額 額分「天満宮」","モクゾウヘンガクガクブンテンマングウ","","","重要文化財","工芸品","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679363","139.44395","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","1950-05-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551200939.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100003","国立市","石棒","セキボウ","","","重要文化財","考古資料","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","2017-09-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551200939.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100004","国立市","石棒東京都緑川東遺跡出土附深鉢形土器残欠","セキボウトウキョウトミドリカワヒガシイセキツケタリフカバチドキザンケツ","","","重要文化財","美術工芸品","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","1000020132152","国立市","2017-09-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551200939.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100005","国立市","一橋大学兼松講堂","ヒトツバシダイガクカネマツコウドウ","","","国登録有形文化財","建造物","一橋大学","132152","","東京都国立市中2-1","東京都","国立市","中2丁目","1","","35.695032","139.445413","","","","","","","","1860004","","","","国立大学法人一橋大学","2000-09-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551201705.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100006","国立市","一橋大学旧門衛所","ヒトツバシダイガクキュウモンエイジョ","","","国登録有形文化財","建造物","一橋大学","132152","","東京都国立市中2-1","東京都","国立市","中2丁目","1","","35.694441","139.445987","","","","","","","","1860004","","","","国立大学法人一橋大学","2000-09-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551201705.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100007","国立市","一橋大学東本館","ヒトツバシダイガクヒガシホンカン","","","国登録有形文化財","建造物","一橋大学","132152","","東京都国立市中2-1","東京都","国立市","中2丁目","1","","35.695449","139.447843","","","","","","","","1860004","","","","国立大学法人一橋大学","2000-09-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551201705.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100008","国立市","滝乃川学園本館","タキノガワガクエンホンカン","","","国登録有形文化財","建造物","滝乃川学園","132152","","東京都国立市矢川3-16-1","東京都","国立市","矢川3丁目","16-1","","35.68096","139.429501","","","","","","","","1860015","","","1012405000085","社会福祉法人滝乃川学園","2002-08-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551201705.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100009","国立市","谷保天満宮社叢","ヤボテンマングウシャソウ","","","東京都指定文化財","天然記念物","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679338","139.443936","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","1924-02-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551230156.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100010","国立市","三田氏館跡","ミタシヤカタアト","","The site of Mita clan's castel","東京都指定文化財","旧跡","三田城址","132152","","東京都国立市谷保5983-1付近","東京都","国立市","谷保","5983-1 付近","","35.679357","139.437806","","","","","","","","1860011","","","","個人","1944-03-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/1463551230156.html","公開状況については、国立市ホームページをご確認ください。"
